NodeID,ParentID,x,y,z,thickness
13036,12911,-0.0298844,0.994793,0.136966,0.004
216,209,-0.289412,1.00938,-0.146032,0.0183303
959,209,-0.289412,1.00938,-0.146032,0.00632456
371,353,-0.42785,0.904516,-0.0996225,0.0132665
12296,353,-0.42785,0.904516,-0.0996225,0.002
696,663,-0.395277,0.903877,-0.0917154,0.008
419,405,-0.367574,0.919732,-0.078863,0.00894427
774,738,-0.414271,0.907346,-0.0896598,0.006
455,442,-0.36513,0.831679,-0.208553,0.00938083
436,420,-0.161205,0.948317,-0.339191,0.0072111
2026,1995,-0.140142,0.945918,-0.317662,0.00663325
1748,1726,-0.0965387,0.885776,-0.388596,0.0052915
14301,14300,-0.217699,0.943197,-0.186941,0.002
14158,14157,-0.385954,0.859919,-0.23786,0.002
149,146,-0.158011,0.873439,-0.448798,0.0146969
654,628,-0.155564,0.848725,-0.463138,0.00632456
309,294,-0.0721258,0.857931,-0.4372,0.0185472
21143,20983,-0.060226,0.841733,-0.421138,0.002
347,335,-0.255631,0.79511,-0.409863,0.008
228,222,-0.251052,0.828062,-0.419598,0.0111355
543,517,-0.26788,0.802604,-0.421513,0.00632456
301,288,-0.325361,0.643729,-0.297758,0.0116619
793,775,-0.283538,0.690666,-0.250345,0.00282843
906,885,-0.295691,0.722491,-0.34896,0.00824621
400,386,0.171853,0.815833,-0.436627,0.0134164
627,601,0.142641,0.807324,-0.43226,0.00565685
2233,2214,0.138486,0.845258,-0.374297,0.00848528
8368,8288,0.251346,0.818327,-0.282094,0.00282843
38,37,-0.297222,1.05343,-0.0131721,0.0307896
8595,8594,-0.247267,1.01454,0.0470527,0.00282843
20543,20542,-0.347054,0.973096,-0.0262284,0.002
873,851,-0.377976,0.947239,-0.110735,0.006
12525,12421,-0.358228,0.914001,0.0370289,0.00282843
148,145,-0.164723,1.04057,0.164223,0.0142829
4966,4925,-0.174049,1.03453,0.113537,0.0072111
462,450,-0.206397,1.05875,-0.153459,0.00894427
14022,13897,-0.232373,1.03786,-0.0585643,0.002
5416,5356,-0.289656,0.998603,-0.15591,0.002
500,484,-0.0592918,1.0389,0.226004,0.0103923
1436,1423,-0.042645,1.02237,0.168837,0.00489898
13037,13036,-0.0155013,1.01457,0.119592,0.004
220,216,-0.295388,1.0365,-0.157398,0.0183303
992,959,-0.317656,1.01823,-0.150926,0.00632456
385,371,-0.439613,0.929218,-0.111928,0.0132665
12418,12296,-0.433836,0.910528,-0.128398,0.002
715,696,-0.377334,0.927715,-0.0948478,0.008
435,419,-0.362475,0.948689,-0.0729072,0.00894427
792,774,-0.43169,0.930609,-0.0971027,0.006
468,455,-0.370177,0.850926,-0.231006,0.00938083
449,436,-0.169225,0.975721,-0.348394,0.0072111
2044,2026,-0.124942,0.970071,-0.308411,0.00663325
1760,1748,-0.083471,0.900316,-0.411352,0.0052915
14442,14301,-0.231643,0.968513,-0.178898,0.002
14159,14158,-0.398729,0.886653,-0.242555,0.002
153,149,-0.157597,0.898998,-0.4645,0.014
5300,149,-0.157597,0.898998,-0.4645,0.00447214
674,654,-0.148821,0.852283,-0.492154,0.00632456
323,309,-0.0587043,0.879517,-0.453135,0.0185472
21144,21143,-0.0310158,0.8475,-0.417464,0.002
361,347,-0.283851,0.801721,-0.417603,0.008
234,228,-0.263706,0.854186,-0.427176,0.0111355
555,543,-0.295246,0.805766,-0.433392,0.00632456
316,301,-0.353871,0.652124,-0.293667,0.0103923
662,301,-0.353871,0.652124,-0.293667,0.0052915
815,793,-0.299486,0.711798,-0.236234,0.00282843
932,906,-0.312796,0.747005,-0.3515,0.00824621
412,400,0.176977,0.82794,-0.463593,0.0134164
646,627,0.122887,0.811399,-0.454467,0.00565685
2258,2233,0.130878,0.873627,-0.368185,0.00565685
3416,2233,0.130878,0.873627,-0.368185,0.00632456
8369,8368,0.275296,0.834069,-0.27323,0.00282843
39,38,-0.314728,1.07651,-0.00534692,0.0307896
8701,8595,-0.246444,1.0253,0.0750444,0.00282843
20737,20543,-0.376515,0.976304,-0.0215621,0.002
896,873,-0.396345,0.970834,-0.113161,0.006
12526,12525,-0.37168,0.936874,0.0510263,0.00282843
152,148,-0.162428,1.069,0.173514,0.0142829
4967,4966,-0.185961,1.05739,0.0981986,0.0069282
5986,4966,-0.185961,1.05739,0.0981986,0.002
479,462,-0.208733,1.08775,-0.160777,0.00894427
14023,14022,-0.24398,1.0594,-0.0412048,0.002
